"full_name","class","e","a","i","om","w","ma","per","moid","moid_ld","pha","H","diameter","albedo","rot_per","epoch"
"       (2009 DP4)",APO,0.4354,1.645,19.27,340.09,119.67,22.84,771,0.0791,30.8,N,23.00,,,,2454885.5
"       (2009 DQ4)",APO,0.3855,1.567,16.88,165.07,297.90,215.09,717,0.101,39.3,N,21.22,,,,2461000.5
"       (2009 DG9)",AMO,0.5865,2.943,20.96,139.96,39.53,98.43,1.84e+03,0.286,111,N,20.90,,,,2461000.5
"       (2009 DS10)",APO,0.5866,2.206,7.51,313.06,123.42,54.46,1.2e+03,0.0396,15.4,Y,20.94,,,,2461000.5
"       (2009 DT10)",APO,0.6208,2.074,3.98,308.97,133.45,230.58,1.09e+03,0.0181,7.06,N,22.84,,,,2461000.5
"       (2009 DU10)",APO,0.3470,1.485,10.40,334.87,206.71,78.55,661,0.00545,2.12,N,26.90,,,,2461000.5
"       (2009 DB12)",APO,0.5658,1.172,26.88,149.36,233.01,132.10,463,0.113,43.9,N,21.27,,,,2461000.5
"       (2009 DC12)",APO,0.2567,1.332,2.90,345.35,275.70,244.78,561,0.0406,15.8,N,22.90,,,,2461000.5
"       (2009 DR36)",APO,0.4403,1.697,17.55,359.03,104.57,229.66,808,0.149,58,N,20.70,,,,2461000.5
"       (2009 DS36)",AMO,0.2509,1.372,17.86,337.13,163.64,159.66,587,0.0448,17.4,N,25.70,,,,2461000.5
"       (2009 DM40)",APO,0.3433,1.332,6.82,153.50,305.25,29.75,561,0.00407,1.58,N,26.80,,,,2454888.5
"       (2009 DZ42)",AMO,0.5829,2.448,13.10,295.11,183.45,139.61,1.4e+03,0.0375,14.6,Y,19.62,,,,2461000.5
"       (2009 DA43)",APO,0.1186,1.017,6.71,157.84,215.52,252.36,374,0.0836,32.5,N,24.60,,,,2461000.5
"       (2009 DB43)",APO,0.1718,1.101,0.93,43.68,38.84,226.18,422,0.00735,2.86,N,26.50,,,,2461000.5
"       (2009 DS43)",APO,0.4585,1.237,28.63,159.09,94.60,317.49,503,0.0167,6.52,N,25.80,,,,2454890.5
"       (2009 DT43)",APO,0.6685,2.547,4.62,338.96,130.36,45.73,1.48e+03,0.00182,0.707,N,26.70,,,,2461000.5
"       (2009 DV43)",APO,0.6550,2.191,4.37,154.48,81.39,35.91,1.18e+03,0.019,7.37,N,23.94,,,,2461000.5
"       (2009 DA45)",AMO,0.4323,2.25,1.24,131.74,29.57,341.56,1.23e+03,0.286,111,N,22.40,,,,2461000.5
"       (2009 DB45)",AMO,0.4518,2.12,20.52,314.93,280.88,100.03,1.13e+03,0.344,134,N,19.17,,,,2461000.5
"       (2009 DC45)",APO,0.3696,1.412,3.51,161.66,300.46,26.91,613,0.00861,3.35,N,27.60,,,,2454890.5
"       (2009 DD45)",APO,0.2048,1.241,13.74,161.89,13.97,25.65,505,0.000385,0.15,N,25.80,,,1.2,2461000.5
"       (2009 DM45)",APO,0.3673,1.172,26.69,336.32,90.90,114.87,464,0.00735,2.86,Y,21.45,,,,2461000.5
"       (2009 DN45)",AMO,0.4747,1.95,8.53,350.41,174.39,359.50,994,0.0323,12.6,N,24.70,,,,2454894.5
"       (2009 DJ46)",APO,0.3215,1.271,18.95,340.62,111.61,37.55,523,0.0219,8.52,N,25.60,,,,2454891.5
"       (2009 DL46)",APO,0.3073,1.461,7.92,63.37,160.38,145.09,645,0.0104,4.06,N,21.99,,,42.26,2461000.5
"       (2009 DO111)",APO,0.2815,1.051,2.98,1.90,273.51,113.58,394,0.0022,0.858,N,22.85,,,0.0489,2461000.5
"       (2009 EA)",APO,0.5378,2.165,8.52,162.54,18.24,86.76,1.16e+03,0.0208,8.1,N,26.50,,,,2461000.5
"       (2009 ED)",APO,0.3974,1.143,30.56,167.03,182.63,162.99,447,0.319,124,N,21.61,,,,2454892.5
"       (2009 EP)",APO,0.5544,1.952,2.20,44.55,173.49,344.66,996,0.0284,11.1,N,23.80,,,,2454893.5
"       (2009 ER)",APO,0.4694,1.894,4.45,350.13,154.05,6.01,952,0.0287,11.2,N,25.00,,,,2454894.5
"       (2009 ET)",APO,0.3055,1.448,3.18,153.49,28.95,349.59,636,0.0236,9.18,N,27.30,,,,2454893.5
"       (2009 EU)",APO,0.5192,1.91,4.39,349.97,221.08,345.48,964,0.00282,1.1,N,26.60,,,,2454893.5
"       (2009 EW)",APO,0.3892,1.258,10.71,345.82,258.31,267.98,515,0.00184,0.715,N,26.40,,,0.06363,2461000.5
"       (2009 EX)",APO,0.3979,1.671,7.39,357.62,98.85,28.74,789,0.119,46.1,N,23.40,,,,2454893.5
"       (2009 EY)",APO,0.5221,1.838,1.32,2.94,102.38,17.09,910,0.0113,4.4,N,26.50,,,,2454893.5
"       (2009 EZ)",AMO,0.5170,2.33,18.66,348.64,232.33,236.81,1.3e+03,0.223,86.6,N,20.61,,,,2461000.5
"       (2009 EA1)",AMO,0.3457,1.625,8.94,153.79,18.82,355.08,757,0.0801,31.2,N,25.80,,,,2454893.5
"       (2009 EC1)",APO,0.4571,1.838,11.99,3.07,127.13,264.77,910,0.0919,35.8,N,22.96,,,,2461000.5
"       (2009 ED1)",AMO,0.4074,2.005,29.78,173.86,2.76,317.67,1.04e+03,0.193,75.2,N,19.74,,,,2461000.5
"       (2009 EE1)",AMO,0.5370,2.308,0.61,1.49,167.85,1.00,1.28e+03,0.0751,29.2,N,25.40,,,,2454903.5
"       (2009 EF1)",APO,0.3730,1.378,12.53,350.13,108.86,31.44,591,0.0387,15.1,N,24.20,,,,2454894.5
"       (2009 EH1)",APO,0.3495,1.168,1.16,158.62,93.55,310.15,461,0.000348,0.135,N,27.76,,,,2454894.5
"       (2009 EJ1)",APO,0.4749,1.599,0.03,312.70,148.38,22.00,739,0.000188,0.0733,N,28.40,,,,2454893.5
"       (2009 EP2)",ATE,0.3562,0.927,27.70,175.15,129.83,157.23,326,0.0409,15.9,Y,21.61,,,,2461000.5
"       (2009 EQ2)",AMO,0.5033,2.408,6.52,174.98,40.24,152.62,1.36e+03,0.204,79.5,N,20.66,,,,2461000.5
"       (2009 EG3)",APO,0.5429,1.354,22.56,175.31,109.78,157.91,575,0.0857,33.4,N,21.31,,,,2461000.5
"       (2009 EH3)",APO,0.6146,1.997,6.24,159.63,297.14,20.10,1.03e+03,0.00499,1.94,N,24.20,,,,2454909.5
"       (2009 EX43)",AMO,0.4632,2.371,4.43,71.12,128.59,349.13,1.33e+03,0.279,108,N,22.11,,,,2454893.5
"       (2009 FA)",AMO,0.5548,2.625,41.90,3.11,200.76,327.61,1.55e+03,0.194,75.5,N,18.60,,,,2461000.5
"       (2009 FE)",APO,0.6138,2.528,1.90,39.63,201.26,35.14,1.47e+03,0.00127,0.494,Y,21.30,,,,2461000.5
"       (2009 FF)",APO,0.4684,1.473,0.98,263.36,13.54,66.34,653,0.0147,5.7,Y,21.93,,,,2461000.5
"       (2009 FG)",APO,0.5307,1.971,0.03,42.61,82.02,16.57,1.01e+03,0.000423,0.165,N,25.50,,,,2454912.5
"       (2009 FH)",APO,0.3391,1.475,0.69,176.51,24.22,99.35,654,0.0001,0.039,N,26.60,,,0.1073,2461000.5
"       (2009 FJ)",APO,0.5686,2.205,0.89,353.49,150.77,39.35,1.2e+03,0.000173,0.0675,N,24.90,,,0.3937,2461000.5
"       (2009 FK)",APO,0.3706,1.525,2.81,359.52,210.69,297.35,688,0.000159,0.0619,N,28.30,,,1,2461000.5
"       (2009 FL)",ATE,0.4661,0.98,26.11,174.64,124.56,291.00,354,0.0302,11.7,N,24.40,,,,2454908.5
"       (2009 FP)",APO,0.5347,1.888,6.14,343.11,126.59,172.86,948,0.0101,3.94,N,23.10,,,,2461000.5
"       (2009 FQ)",AMO,0.4417,1.838,6.72,354.75,168.82,5.09,911,0.0364,14.2,N,25.70,,,,2454909.5
"       (2009 FR)",APO,0.5239,2.098,1.51,183.90,336.68,5.81,1.11e+03,0.0114,4.45,N,26.40,,,,2454912.5
"       (2009 FS)",APO,0.6207,2.448,4.73,173.77,44.21,351.67,1.4e+03,0.0128,4.98,N,24.20,,,,2454909.5
"       (2009 FJ1)",APO,0.2196,1.138,18.90,4.32,86.28,65.88,444,0.0551,21.4,N,23.10,,,,2454911.5
"       (2009 FS4)",AMO,0.5840,2.47,0.61,356.17,207.82,356.05,1.42e+03,0.0249,9.67,N,25.10,,,,2454917.5
"       (2009 FT4)",AMO,0.5528,2.665,15.30,162.29,325.55,302.34,1.59e+03,0.239,92.9,N,20.70,,,,2461000.5
"       (2009 FU4)",APO,0.6146,2.386,12.85,41.92,233.46,159.64,1.35e+03,0.0408,15.9,Y,17.84,,,,2461000.5
"       (2009 FW4)",APO,0.5676,1.859,3.27,3.62,111.01,19.05,926,0.0068,2.65,N,24.60,,,,2454914.5
"       (2009 FX4)",APO,0.3218,1.288,0.52,48.88,196.58,128.55,534,0.00632,2.46,N,25.40,,,0.2,2461000.5
"       (2009 FY4)",APO,0.3274,1.013,20.98,162.61,244.68,235.11,372,0.0425,16.5,Y,21.00,0.129,0.421,,2461000.5
"       (2009 FZ4)",APO,0.2496,1.122,4.20,357.09,288.91,288.42,434,0.00925,3.6,N,24.37,,,,2461000.5
"       (2009 FA5)",AMO,0.5591,2.323,2.72,355.14,203.28,355.23,1.29e+03,0.0293,11.4,N,26.02,,,,2454909.5
"       (2009 FB5)",AMO,0.4188,1.954,1.85,41.47,140.30,1.91,997,0.14,54.5,N,22.70,,,,2454910.5
"       (2009 FX10)",APO,0.2965,1.199,1.93,55.51,204.88,311.91,480,0.0242,9.44,N,24.30,,,,2454913.5
"       (2009 FY10)",APO,0.5542,1.239,42.22,345.16,326.12,294.41,504,0.375,146,N,20.11,,,,2461000.5
"       (2009 FZ10)",APO,0.5972,2.132,6.46,177.83,304.42,14.70,1.14e+03,0.00928,3.61,N,25.50,,,,2454915.5
"       (2009 FE19)",APO,0.1952,1.245,12.39,1.36,218.34,332.30,508,0.036,14,N,26.90,,,,2461000.5
"       (2009 FS23)",AMO,0.4843,2.044,10.76,182.89,354.07,3.67,1.07e+03,0.0587,22.8,N,25.30,,,,2454919.5
"       (2009 FT23)",APO,0.4457,1.199,11.57,181.87,98.31,314.38,480,0.0116,4.53,N,25.90,,,,2454914.5
"       (2009 FU23)",ATE,0.2822,0.8373,13.90,57.73,315.27,75.44,280,0.0345,13.4,Y,20.09,,,,2461000.5
"       (2009 FV23)",AMO,0.4224,1.763,7.71,9.52,178.69,358.93,855,0.0194,7.56,N,25.90,,,,2454916.5
"       (2009 FL25)",APO,0.7454,2.208,11.89,65.66,17.44,48.41,1.2e+03,0.195,76,N,19.38,,,,2461000.5
"       (2009 FW25)",ATE,0.3215,0.882,12.36,0.12,323.86,281.27,303,0.0409,15.9,N,23.42,,,,2461000.5
"       (2009 FN28)",AMO,0.5237,2.635,30.90,174.54,53.07,320.06,1.56e+03,0.385,150,N,19.40,,,,2461000.5
"       (2009 FO28)",APO,0.6184,2.312,20.17,188.64,69.33,345.00,1.28e+03,0.101,39.3,N,21.10,,,,2454921.5
"       (2009 FP28)",APO,0.5448,2.004,8.19,256.05,353.99,296.52,1.04e+03,0.0815,31.7,N,21.06,,,,2461000.5
"       (2009 FP29)",AMO,0.3340,1.635,1.77,195.35,333.96,354.94,763,0.0949,36.9,N,24.30,,,,2461000.5
"       (2009 FY29)",AMO,0.3793,1.69,21.66,184.87,91.23,171.79,803,0.285,111,N,20.09,,,,2461000.5
"       (2009 FJ30)",APO,0.6129,2.243,1.72,226.96,39.68,343.54,1.23e+03,0.00558,2.17,N,22.60,,,,2454926.5
"       (2009 FU30)",APO,0.5968,2.399,0.85,115.04,106.06,353.32,1.36e+03,0.0106,4.13,N,24.90,,,,2454920.5
"       (2009 FN32)",AMO,0.5049,2.341,29.39,188.89,16.81,226.62,1.31e+03,0.172,67,N,22.10,,,,2461000.5
"       (2009 FO32)",APO,0.5080,1.349,4.33,3.75,277.33,190.87,572,0.00956,3.72,N,25.70,,,,2461000.5
"       (2009 FP32)",APO,0.5935,1.951,0.87,18.11,236.45,343.96,995,0.00186,0.723,N,27.70,,,,2454920.5
"       (2009 FQ32)",APO,0.1886,1.225,6.14,7.77,203.47,344.95,495,0.00735,2.86,N,26.80,,,,2454920.5
"       (2009 FR32)",AMO,0.4061,1.787,3.72,0.55,200.84,354.48,873,0.0637,24.8,N,25.09,,,,2454919.5
"       (2009 FS32)",APO,0.0638,1.052,14.44,7.08,281.39,265.77,394,0.0302,11.8,N,25.78,,,,2454918.5
"       (2009 FT32)",APO,0.6293,2.643,8.62,180.31,62.74,349.33,1.57e+03,0.0862,33.6,N,23.80,,,,2454919.5
"       (2009 FF44)",AMO,0.4830,2.341,1.88,63.15,128.85,227.36,1.31e+03,0.211,82.1,N,23.50,,,,2461000.5
"       (2009 FG44)",ATE,0.1141,0.9642,31.61,6.71,15.77,165.42,346,0.071,27.6,N,22.50,,,,2454922.5
"       (2009 FH44)",APO,0.3620,1.44,12.54,195.25,295.28,255.07,631,0.0528,20.5,N,22.70,,,,2461000.5
"       (2009 HC)",APO,0.1257,1.035,3.73,203.49,271.80,316.56,385,0.00562,2.19,N,24.79,,,,2461000.5
"       (2009 HD)",AMO,0.5638,2.403,12.52,34.64,173.14,154.99,1.36e+03,0.043,16.7,N,22.92,,,,2461000.5
"       (2009 HE)",APO,0.4004,1.3,44.39,200.89,118.01,4.71,542,0.0721,28,N,21.03,,,,2461000.5
"       (2009 HF)",APO,0.4255,1.569,18.17,29.35,111.38,29.45,718,0.0747,29.1,N,22.70,,,,2454940.5
"       (2009 HG)",AMO,0.2226,1.365,3.64,230.94,356.76,126.81,583,0.0498,19.4,N,24.34,,,,2461000.5
"       (2009 HR2)",APO,0.5487,1.638,10.23,27.91,95.73,28.16,766,0.0273,10.6,N,25.00,,,,2454941.5
"       (2009 HS2)",APO,0.8236,2.511,15.63,29.20,56.62,71.87,1.45e+03,0.0897,34.9,N,21.99,,,,2461000.5
"       (2009 HT2)",AMO,0.6064,2.683,8.66,29.41,178.66,0.14,1.6e+03,0.0514,20,N,26.50,,,,2454940.5
"       (2009 HV2)",APO,0.4997,1.641,6.72,37.92,261.11,283.19,768,0.0329,12.8,Y,21.30,,,,2461000.5
"       (2009 HW2)",AMO,0.5183,2.187,2.88,211.27,351.02,51.78,1.18e+03,0.0494,19.2,N,24.00,,,,2461000.5
"       (2009 HA21)",APO,0.7291,1.461,6.41,205.39,219.92,202.99,645,0.0461,18,Y,20.85,,,,2461000.5
"       (2009 HB21)",APO,0.4204,1.733,39.62,206.88,317.19,18.14,833,0.0824,32.1,N,23.12,,,,2454943.5
"       (2009 HC21)",APO,0.1570,1.168,19.35,213.29,126.90,293.04,461,0.044,17.1,N,22.10,,,,2461000.5
"       (2009 HE21)",APO,0.8552,2.399,6.47,34.54,298.51,346.16,1.36e+03,0.00713,2.77,N,24.50,,,,2454943.5
"       (2009 HF21)",APO,0.5698,2.339,4.27,34.71,188.66,226.94,1.31e+03,0.00209,0.812,N,26.20,,,,2461000.5
"       (2009 HG21)",ATE,0.3679,0.9077,5.43,32.33,317.12,317.47,316,0.0161,6.25,N,25.00,,,,2461000.5
"       (2009 HH21)",AMO,0.2657,1.407,4.24,213.57,11.11,353.05,610,0.028,10.9,N,26.90,,,,2454943.5
"       (2009 HJ21)",APO,0.6476,1.634,3.13,30.74,277.29,335.80,763,0.00221,0.86,N,27.50,,,,2454943.5
"       (2009 HL21)",APO,0.4447,1.664,1.01,144.33,9.46,284.40,784,0.00789,3.07,N,22.55,,,,2461000.5
"       (2009 HJ36)",APO,0.3570,1.577,3.85,34.25,202.76,348.70,723,0.0169,6.58,N,27.90,,,,2454943.5
"       (2009 HS44)",APO,0.7022,2.573,2.44,209.07,73.25,355.45,1.51e+03,0.00591,2.3,N,26.50,,,,2461000.5
"       (2009 HU44)",ATE,0.6441,0.8303,6.64,212.83,213.67,53.39,276,0.00591,2.3,N,22.60,,,,2461000.5
"       (2009 HX51)",APO,0.3854,1.505,12.40,63.83,59.35,35.92,674,0.0536,20.9,N,21.07,,,,2461000.5
"       (2009 HY51)",AMO,0.3062,1.71,13.62,62.37,81.56,191.93,817,0.315,122,N,20.95,,,,2461000.5
"       (2009 HT58)",AMO,0.2116,1.345,17.89,34.09,189.99,353.60,569,0.0565,22,N,25.20,,,,2454946.5
"       (2009 HU58)",APO,0.9090,2.066,35.85,62.37,285.76,189.45,1.08e+03,0.267,104,N,19.02,,,,2461000.5
"       (2009 HV58)",APO,0.5842,1.984,46.97,69.69,50.92,10.08,1.02e+03,0.0282,11,Y,19.72,,,,2461000.5
"       (2009 HE60)",ATE,0.2645,0.9955,1.58,228.83,219.72,340.73,363,0.0153,5.95,N,25.69,,,,2461000.5
"       (2009 HG60)",APO,0.6446,1.982,6.95,212.99,283.42,19.03,1.02e+03,0.000485,0.189,N,22.85,,,0.18835,2454953.5
"       (2009 HV67)",APO,0.6690,2.692,30.57,199.34,80.47,254.29,1.61e+03,0.211,82.2,N,20.40,,,,2461000.5
"       (2009 HW67)",APO,0.7512,2.051,2.35,216.39,259.79,17.08,1.07e+03,0.00121,0.472,N,26.10,,,,2454950.5
"       (2009 HX67)",AMO,0.4307,1.838,53.96,215.91,81.21,197.42,910,0.346,135,N,20.75,,,,2461000.5
"       (2009 HY67)",APO,0.4855,1.763,36.27,221.92,277.20,59.99,855,0.204,79.5,N,21.98,,,,2461000.5
"       (2009 HZ67)",APO,0.6028,1.993,11.91,182.01,314.81,341.66,1.03e+03,0.0587,22.8,N,21.63,,,,2461000.5
"       (2009 HK73)",APO,0.2826,1.245,5.63,215.86,300.52,6.38,508,0.00251,0.976,N,26.30,,,0.049989,2461000.5
"       (2009 HM73)",AMO,0.5122,2.398,6.42,72.85,161.04,159.88,1.36e+03,0.16,62.4,N,23.10,,,,2461000.5
"       (2009 HU77)",AMO,0.3334,1.693,23.11,218.23,1.47,186.05,805,0.12,46.7,N,23.40,,,,2461000.5
"       (2009 HV77)",AMO,0.4519,1.898,2.91,46.67,246.12,89.67,955,0.0512,19.9,N,20.70,,,,2461000.5
"       (2009 HF82)",APO,0.4459,1.567,43.30,40.32,34.25,94.22,716,0.0727,28.3,N,19.96,,,,2454953.5
"       (2009 HM82)",APO,0.3025,1.273,20.40,218.01,80.08,146.44,525,0.0686,26.7,N,22.75,,,0.1270467,2461000.5
"       (2009 JA)",APO,0.3262,1.423,8.10,219.42,46.29,249.22,620,0.0166,6.47,N,25.50,,,,2461000.5
"       (2009 JR)",APO,0.4895,1.73,8.40,225.32,295.26,119.08,831,0.0309,12,Y,21.41,,,,2461000.5
"       (2009 JS)",APO,0.3592,1.346,6.38,43.86,112.45,33.62,570,0.00847,3.3,N,25.70,,,,2454955.5
"       (2009 JE1)",APO,0.2974,1.374,8.10,46.16,223.06,335.27,588,0.0125,4.85,N,26.91,,,,2454955.5
"       (2009 JF1)",APO,0.7384,1.895,6.15,45.48,281.44,107.97,952,5.38e-05,0.0209,N,27.73,,,,2461000.5
"       (2009 JG1)",AMO,0.3278,1.876,17.03,230.89,23.94,142.21,939,0.263,102,N,20.81,,,,2461000.5
"       (2009 JM1)",APO,0.4538,1.034,20.34,222.32,242.48,330.60,384,0.017,6.61,N,23.20,,,,2461000.5
"       (2009 JG2)",APO,0.6591,2.032,2.73,212.00,103.70,341.44,1.06e+03,0.000114,0.0443,N,22.60,,,,2454963.5
"       (2009 JL2)",APO,0.4717,1.856,17.85,52.91,204.97,186.42,923,0.00144,0.561,N,26.00,,,,2461000.5
"       (2009 JM2)",APO,0.6063,2.393,17.48,65.59,119.62,167.79,1.35e+03,0.093,36.2,N,19.35,,,28.5,2461000.5
"       (2009 JQ2)",AMO,0.3245,1.548,36.19,46.52,113.71,35.83,703,0.197,76.6,N,21.30,,,,2454965.5
"       (2009 JR2)",AMO,0.1790,1.25,19.73,52.87,255.32,238.20,510,0.128,49.7,N,22.95,,,,2461000.5
"       (2009 KL)",APO,0.5902,1.989,6.64,221.95,307.51,17.09,1.02e+03,0.0171,6.65,N,23.81,,,,2454971.5
"       (2009 KM)",APO,0.7888,2.414,9.35,105.06,228.60,124.13,1.37e+03,0.0935,36.4,N,20.35,,,,2461000.5
"       (2009 KN)",APO,0.6705,3.064,62.97,63.87,86.27,48.32,1.96e+03,0.484,189,N,20.74,,,,2461000.5
"       (2009 KY1)",APO,0.1894,1.147,9.37,236.79,281.56,213.23,449,0.0369,14.4,N,23.84,,,,2461000.5
"       (2009 KV2)",AMO,0.3910,2.108,29.03,236.81,339.99,147.15,1.12e+03,0.288,112,N,19.93,,,,2461000.5
"       (2009 KW2)",APO,0.2539,1.361,5.19,243.44,3.06,134.89,580,0.00166,0.647,N,26.60,,,0.05686,2461000.5
"       (2009 KD3)",APO,0.6760,2.17,7.93,39.30,116.23,17.88,1.17e+03,0.028,10.9,Y,21.40,,,,2454977.5
"       (2009 KE3)",APO,0.7024,2.67,5.85,13.78,319.90,271.64,1.59e+03,0.0323,12.6,Y,18.31,,,,2461000.5
"       (2009 KO4)",AMO,0.5578,2.452,2.04,127.96,125.38,103.58,1.4e+03,0.0742,28.9,N,24.40,,,,2461000.5
"       (2009 KQ4)",AMO,0.2627,1.529,6.49,58.74,135.53,279.77,691,0.142,55.4,N,20.56,,,,2461000.5
"       (2009 KR4)",ATE,0.2395,0.8435,10.72,240.04,191.22,170.29,283,0.0259,10.1,N,25.00,,,,2454979.5
"       (2009 KT4)",AMO,0.2028,1.278,11.02,230.70,309.19,43.59,528,0.0648,25.2,N,21.80,,,,2454986.5
"       (2009 KC7)",AMO,0.5439,2.623,15.63,255.89,358.20,305.10,1.55e+03,0.18,70.2,N,19.48,,,,2461000.5
"       (2009 KL8)",APO,0.4725,1.717,7.98,76.14,222.47,343.18,821,0.0125,4.85,N,24.30,,,0.0447,2454982.5
"       (2009 KR21)",APO,0.5195,1.731,2.36,69.31,243.23,340.66,832,0.0011,0.428,N,26.70,,,,2454983.5
"       (2009 KV21)",APO,0.5900,2.412,7.37,76.83,218.53,350.02,1.37e+03,0.03,11.7,N,24.63,,,,2454984.5
"       (2009 LA)",APO,0.3107,1.245,12.51,249.19,288.41,42.21,508,0.00693,2.7,N,26.30,,,,2454984.5
"       (2009 LD)",ATE,0.1504,0.988,9.79,244.55,254.13,9.80,359,0.00578,2.25,N,26.20,,,,2461000.5
"       (2009 LE)",APO,0.2352,1.306,21.28,81.36,214.62,334.81,545,0.0176,6.85,N,23.60,,,,2454988.5
"       (2009 LQ)",APO,0.5904,1.536,5.34,114.48,244.15,195.85,696,0.0419,16.3,Y,21.75,,,,2461000.5
"       (2009 LX)",AMO,0.6059,2.835,12.55,313.41,349.48,151.54,1.74e+03,0.105,40.9,N,19.34,,,,2461000.5
"       (2009 LQ1)",AMO,0.2166,1.428,1.21,104.22,136.17,238.59,623,0.105,40.9,N,22.18,,,,2461000.5
"       (2009 LU2)",APO,0.5104,1.414,10.31,74.94,278.49,238.78,614,0.00462,1.8,N,22.34,,,,2461000.5
"       (2009 LV2)",APO,0.5964,1.51,26.10,249.39,118.68,326.25,678,0.164,63.7,N,22.40,,,,2454999.5
"       (2009 LW2)",APO,0.2595,1.206,33.15,101.10,41.10,259.43,484,0.0416,16.2,Y,19.82,,,,2461000.5
"       (2009 MA)",AMO,0.4886,2.014,18.26,98.71,212.86,251.68,1.04e+03,0.06,23.3,N,21.55,,,,2461000.5
"       (2009 MD)",AMO,0.5285,2.332,10.46,109.90,166.96,359.83,1.3e+03,0.0878,34.2,N,23.00,,,,2455004.5
"       (2009 MU)",APO,0.6108,2.285,7.29,93.92,224.87,257.22,1.26e+03,0.00692,2.69,N,24.56,,,,2461000.5
"       (2009 MW)",ATE,0.2993,0.9128,21.03,87.54,23.62,69.43,319,0.112,43.4,N,20.86,,,,2461000.5
"       (2009 MX)",AMO,0.3152,1.642,20.22,98.63,170.83,0.26,769,0.111,43.1,N,23.00,,,,2455007.5
"       (2009 MG1)",APO,0.6254,2.003,6.80,87.89,101.44,19.46,1.04e+03,0.0149,5.8,N,24.00,,,,2455006.5
"       (2009 ML1)",AMO,0.4351,2.154,3.24,278.94,63.52,48.64,1.15e+03,0.215,83.5,N,19.56,,,,2461000.5
"       (2009 MM1)",AMO,0.4992,2.377,8.84,70.16,227.82,355.66,1.34e+03,0.208,80.9,N,21.70,,,,2455013.5
"       (2009 MX6)",APO,0.5621,2.151,9.02,271.19,76.57,48.88,1.15e+03,0.0924,35.9,N,19.21,,,,2461000.5
"       (2009 MM8)",AMO,0.4352,1.84,3.10,94.98,202.75,353.92,912,0.0295,11.5,N,24.80,,,,2455016.5
"       (2009 MN8)",APO,0.5445,2.223,3.56,282.01,326.31,343.26,1.21e+03,0.0215,8.37,N,22.70,,,,2461000.5
"       (2009 MC9)",AMO,0.4656,2.199,9.09,326.38,342.81,358.21,1.19e+03,0.165,64.4,N,18.08,,,4.789,2461000.5
"       (2009 ME9)",ATE,0.5010,0.9234,31.47,274.02,207.52,320.81,324,0.16,62.3,N,21.24,,,,2461000.5
"       (2009 NL)",APO,0.6831,2.822,13.77,132.60,113.14,170.97,1.73e+03,0.0759,29.5,N,19.89,,,,2461000.5
"       (2009 OC)",AMO,0.4472,2.136,4.58,178.31,138.37,79.10,1.14e+03,0.176,68.3,N,20.24,,,,2461000.5
"       (2009 OF)",APO,0.5992,2.352,9.38,126.86,218.02,176.71,1.32e+03,0.00423,1.65,Y,21.50,,,,2461000.5
"       (2009 OB3)",AMO,0.4406,2.247,26.40,106.88,218.16,304.51,1.23e+03,0.299,117,N,19.41,,,,2461000.5
"       (2009 OC3)",AMO,0.4727,2.052,1.56,175.13,126.54,200.52,1.07e+03,0.0687,26.7,N,22.30,,,,2461000.5
"       (2009 OZ4)",APO,0.6419,2.677,38.05,140.02,240.28,246.18,1.6e+03,0.148,57.6,N,19.36,,,,2461000.5
"       (2009 OS5)",AMO,0.0994,1.148,1.71,144.34,122.82,145.81,449,0.0279,10.9,N,24.40,,,,2461000.5
"       (2009 OX5)",APO,0.4497,1.819,41.31,121.81,141.64,13.50,896,0.0542,21.1,N,19.70,,,,2455041.5
"       (2009 OW6)",APO,0.4818,1.954,0.12,96.29,229.31,343.59,998,0.00147,0.573,N,25.40,,,,2461000.5
"       (2009 OY7)",APO,0.2759,1.374,27.71,125.15,222.21,335.94,588,0.0365,14.2,N,24.77,,,,2455040.5
"       (2009 OZ7)",AMO,0.1828,1.513,21.12,318.05,15.37,261.86,679,0.227,88.5,N,21.01,,,,2461000.5
"       (2009 OP9)",AMO,0.4757,2.02,13.41,142.44,224.48,229.89,1.05e+03,0.114,44.4,N,19.31,,,,2461000.5
"       (2009 PC)",ATE,0.3427,0.9956,7.09,134.23,48.21,239.08,363,0.0378,14.7,N,23.16,,,,2461000.5
"       (2009 PD)",AMO,0.1700,1.266,3.91,113.26,165.91,23.49,520,0.0361,14.1,N,24.20,,,,2455047.5
"       (2009 PH)",AMO,0.4463,2.197,3.77,292.99,42.81,353.86,1.19e+03,0.211,81.9,N,22.13,,,,2461000.5
"       (2009 PY)",ATE,0.2944,0.9452,26.56,325.63,195.97,33.90,336,0.18,70,N,21.12,,,,2461000.5
"       (2009 PQ1)",APO,0.4893,1.497,5.60,326.74,271.76,349.26,669,0.0212,8.23,N,22.55,,,,2461000.5
"       (2009 PR1)",AMO,0.3120,1.488,8.65,139.01,167.53,352.71,663,0.0144,5.59,N,24.60,,,,2461000.5
"       (2009 PU1)",APO,0.1707,1.104,20.94,143.10,277.49,286.44,424,0.0544,21.2,N,22.40,,,,2455061.5
"       (2009 PT2)",APO,0.4660,1.711,3.83,299.65,95.86,66.41,818,0.0455,17.7,N,23.50,,,,2461000.5
"       (2009 PA3)",APO,0.4387,1.383,5.71,132.05,109.34,35.80,594,0.00998,3.88,N,25.30,,,,2455059.5
