"full_name","class","e","a","i","om","w","ma","per","moid","moid_ld","pha","H","diameter","albedo","rot_per","epoch"
"       (2021 XH2)",APO,0.6787,2.22,17.74,311.18,215.08,53.48,1.21e+03,0.15,58.5,N,19.86,,,,2461000.5
"       (2021 XK2)",APO,0.3038,1.459,11.55,243.65,160.41,13.66,644,0.0392,15.2,N,25.67,,,,2459552.5
"       (2021 XL2)",AMO,0.3990,1.805,6.43,82.23,1.70,221.55,886,0.1,39.1,N,24.06,,,,2461000.5
"       (2021 XM2)",APO,0.3033,1.343,36.56,71.13,45.22,336.04,568,0.0182,7.08,N,26.02,,,,2459552.5
"       (2021 XN2)",APO,0.4538,1.792,6.74,253.45,196.94,228.37,876,0.00552,2.15,N,27.36,,,,2461000.5
"       (2021 XO2)",APO,0.5416,1.783,8.87,71.88,297.42,257.58,869,0.00828,3.22,N,25.42,,,,2461000.5
"       (2021 XP2)",APO,0.4460,1.78,7.98,253.51,176.53,241.60,868,0.00134,0.522,N,25.56,,,,2461000.5
"       (2021 XQ2)",APO,0.6964,2.482,2.78,104.45,37.99,348.48,1.43e+03,0.0213,8.28,N,25.42,,,,2459553.5
"       (2021 XT2)",APO,0.5685,1.889,12.31,100.46,60.29,338.37,948,0.00698,2.72,N,22.45,,,,2459556.5
"       (2021 XU2)",APO,0.4249,1.685,29.05,232.47,193.75,278.12,799,0.0115,4.46,Y,19.94,,,,2461000.5
"       (2021 XV2)",AMO,0.0378,1.223,26.13,58.18,19.98,355.43,494,0.191,74.5,N,23.80,,,,2459551.5
"       (2021 XW2)",APO,0.6335,2.211,6.63,334.74,6.87,18.76,1.2e+03,0.0944,36.7,N,23.12,,,,2459552.5
"       (2021 XX2)",APO,0.3425,1.465,5.02,76.79,26.84,69.11,648,0.00367,1.43,N,28.56,,,,2461000.5
"       (2021 XY2)",APO,0.5331,1.343,14.94,67.43,269.56,40.21,568,0.00905,3.52,N,24.28,,,,2459556.5
"       (2021 XZ2)",APO,0.7014,2.282,6.64,88.15,64.84,346.47,1.26e+03,0.0203,7.91,N,26.14,,,,2459554.5
"       (2021 XA3)",AMO,0.5083,2.069,9.32,78.59,347.96,2.28,1.09e+03,0.0373,14.5,N,26.46,,,,2459555.5
"       (2021 XB3)",APO,0.6800,1.506,18.66,69.87,239.66,31.53,675,0.0769,29.9,N,22.66,,,,2459553.5
